city,institution,stateorprovince,country,LATITUDE,LONGITUDE,school_type
,St. Mary's School,NC,USA,35.7806644,-78.6603385,BOARDING
,St. Michael's Preparatory School,CA,USA,33.6810946,-117.6172139,BOARDING
,St. Paul's School,WV,USA,40.3998611,-80.5887222,BOARDING
,St. Stephen's Episcopal School,TX,USA,30.3300197,-97.8197782,BOARDING
,St. Timothy's School,MD,USA,39.4071744,-76.6902668,BOARDING
,Stetson School,MA,USA,42.409974,-72.1085912,BOARDING
,Stevenson School,IL,USA,39.8933054,-88.9449531,BOARDING
,Stoneleigh-Burnham School,MA,USA,42.614326,-72.5862006,BOARDING
,Stratton Mountain School,VT,USA,43.1059962,-72.8879356,BOARDING
,Subiaco Academy,AR,USA,35.2990153,-93.633259,BOARDING
,Suffield Academy,CT,USA,41.9851171,-72.6508484,BOARDING
,Tabor Academy,MA,USA,41.7080104,-70.767304,BOARDING
,Taft School,CT,USA,41.6034679,-73.1238846,BOARDING
,Tallulah Falls School,GA,USA,34.7311997,-83.3945459,BOARDING
,Tennessee Governor's Academy for Math and Science,TN,USA,35.091544,-85.1784355,BOARDING
,Texas Academy of Mathematics and Science,TX,USA,33.212472,-97.1512305,BOARDING
,The American Boychoir School,NJ,USA,40.3882948,-74.8098939,BOARDING
,The Athenian School,CA,USA,37.8339264,-121.9501485,BOARDING
,The Chinquapin School,TX,USA,29.8201905,-95.0215071,BOARDING
,The Delphian School,OR,USA,45.107412,-123.448143,BOARDING
,The Episcopal School of Texas,TX,USA,29.636049,-98.601458,BOARDING
,The Governor's Academy,MA,USA,42.7498211,-70.8980295,BOARDING
,The Gow School,NY,USA,42.7086079,-78.5820857,BOARDING
,The Grier School,PA,USA,40.6462019,-78.1934466,BOARDING
,The Gunnery,CT,USA,41.6279566,-73.3115905,BOARDING
,The Highland School,TX,USA,32.8482766,-96.9290309,BOARDING
,The Hill School,PA,USA,40.2470492,-75.630599,BOARDING
,The Hun School,NJ,USA,40.3372103,-74.6861637,BOARDING
,The Kildonan School,NY,USA,41.893216,-73.5542,BOARDING
,The Kiski School,PA,USA,40.4867913,-79.4571263,BOARDING
,The Lawrenceville School,NJ,USA,40.294186,-74.7249281,BOARDING
,The Leelanau School,MI,USA,44.9120599,-85.9721119,BOARDING
,The Loomis Chaffee School,CT,USA,41.844137,-72.63961,BOARDING
,The Masters School,NY,USA,41.0109462,-73.8704246,BOARDING
,The Miller School of Albemarle,VA,USA,38.0058913,-78.7012489,BOARDING
,The Orme School of Arizona,AZ,USA,34.43199,-112.070567,BOARDING
,The Peddie School,NJ,USA,40.2668445,-74.5242289,BOARDING
,The Pennington School,NJ,USA,40.3277037,-74.7941588,BOARDING
,The Putney School,VT,USA,42.9875714,-72.5536261,BOARDING
,The Rectory School,CT,USA,41.893041,-71.9644866,BOARDING
,The Salisbury School,MD,USA,38.3627747,-75.5342654,BOARDING
,The SEED School,MD,USA,39.2838727,-76.6639216,BOARDING
,The SEED School,MD,USA,39.2838727,-76.6639216,BOARDING
,The Stony Brook School,NY,USA,40.9225887,-73.1310805,BOARDING
,The Thacher School,CA,USA,34.4639616,-119.1822906,BOARDING
,The Webb School,TN,USA,35.5892346,-86.3471492,BOARDING
,The Webb Schools,CA,USA,34.1233117,-117.7387695,BOARDING
,The Winchendon School,MA,USA,42.6750766,-72.0367516,BOARDING
,The Woodhall School,CT,USA,41.6356348,-73.2035621,BOARDING
,Thomas Jefferson School,MO,USA,37.0995136,-94.4703197,BOARDING
,Thomas More Prep-Marian,KS,USA,38.8813621,-99.3395216,BOARDING
,Tilton School,NH,USA,43.4447178,-71.5890706,BOARDING
,Trinity-Pawling School,NY,USA,41.571058,-73.590093,BOARDING
,Upper Columbia Academy,WA,USA,47.4133315,-117.3674738,BOARDING
,Valley Forge Military Academy,PA,USA,40.0533971,-75.3821423,BOARDING
,Verde Valley School,AZ,USA,34.8086238,-111.80372,BOARDING
,Vermont Academy,VT,USA,43.141708,-72.508514,BOARDING
,Villanova Preparatory School,CA,USA,34.4301749,-119.2644906,BOARDING
,Virginia Episcopal School,VA,USA,37.452548,-79.190609,BOARDING
,Walnut Hill School,MA,USA,42.2911368,-71.3463381,BOARDING
,Wasatch Academy,UT,USA,39.5441367,-111.4568347,BOARDING
,Wayland Academy,WI,USA,43.4573958,-88.8274211,BOARDING
,Wediko Children's Services,MA,USA,42.3391715,-71.0691577,BOARDING
,Wellspring Academy of the Carolinas,NC,USA,35.2691588,-82.7344412,BOARDING
,West Nottingham Academy,MD,USA,39.668794,-76.080365,BOARDING
,Western Reserve Academy,OH,USA,41.2455352,-81.4364761,BOARDING
,Westminster School,OK,USA,35.5161531,-97.5226207,BOARDING
,Westover School,CT,USA,41.5256371,-73.1232078,BOARDING
,Westtown School,PA,USA,39.9482057,-75.5377932,BOARDING
,White Mountain School,NH,USA,44.280348,-71.7580175,BOARDING
,Wilbraham and Monson Academy,MA,USA,42.1243312,-72.431501,BOARDING
,Woodberry Forest School,VA,USA,38.2911875,-78.1218027,BOARDING
,Woodlands Academy of the Sacred Heart,IL,USA,42.235301,-87.829513,BOARDING
,Woodside Priory School,CA,USA,37.375907,-122.213111,BOARDING
,Woodstock Academy,CT,USA,41.951017,-71.975534,BOARDING
,Worcester Academy,MA,USA,42.252582,-71.791236,BOARDING
,Wyoming Seminary,PA,USA,41.263366,-75.8983745,BOARDING
