id,Roster_Year,Player_Number,First_Name,Last_Name,Year,Position1,Position2,Position3,Height,Weight,Home_Town,State_or_Country,High_School,Alternative_School,College,College_League,Bio_Link
6390,2010,16,Matt,Thaeder,Senior,Midfielder,,,5'9,,Kennett Square,PA,Unionville,Unionville,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6581
6393,2010,0,Patrick,Wall,Freshman,Goalkeeper,,,5'11,160,Sugarland,TX,Strake Jesuit College Prep,Strake Jesuit College Prep,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4964
6394,2010,20,Matt,Weaver,Sophomore,Back,,,5'11,,Wilmette,IL,New Trier,New Trier,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6577
6396,2010,1,Kyle,Wittman,Senior,Goalkeeper,,,6'1,197,Baltimore,MD,Calvert Hall College,Calvert Hall College,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2311
6397,2010,12,Ben,Wysocki,Freshman,Midfielder,,,5'11,,Lower Makefield,PA,Germantown Academy,Germantown Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6637
6398,2010,24,Will,Addis,Sophomore,Back,,,6'1,,Bryn Mawr,PA,Episcopal High School (Va.),Episcopal High School (Va.),Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6582
6400,2010,14,Alex,Caskey,Senior,Midfielder,,,5'10,152,Dunwoody,GA,Dunwoody,Dunwoody,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1563
6402,2010,2,Jordie,Ciuffetelli,Junior,Back,,,5'7,,Unionville,PA,Unionville,Unionville,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=275
6407,2010,10,Andrew,DiLallo,Sophomore,Forward,,,6'3,185,Wellington,FL,Wellington,Wellington,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1564
6408,2010,23,Stephen,Dooley,Freshman,Forward,,,5'11,160,Portstewart,Northern Ireland,Loreto College Coleraine,Loreto College Coleraine,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2330
6409,2010,23,Ben,Gold,Freshman,Goalkeeper,,,6'1,170,Woodland Hills,CA,El Camino Real,El Camino Real,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1585
6410,2010,15,James,Graf,Senior,Back,,,6'2,,Schwenksville,PA,Perkiomen Valley,Perkiomen Valley,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6564
6411,2010,4,Ben,Havey,Senior,Midfielder,,,5'11,165,Preston,England,Loughborough University,Loughborough University,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3161
6412,2010,3,Hunter,Hayes,Junior,Defender,,,6'2,176,Peachtree City,GA,Starr's Mill,Starr's Mill,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1565
6414,2010,7,Michael,Knapp,Junior,Defender,,,6'1,170,Arlington,TX,Jesuit College Prep,Jesuit College Prep,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4943
6415,2010,17,Stephen,Knox,Junior,Forward,,,5'7,154,Arima,Trinidad,Fatima College (HS,Fatima College (HS,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3174
6416,2010,26,Jamie,Libby,Freshman,Defender,,,6'4,195,Romford,England,Havering College,Havering College,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2333
6417,2010,8,Kyle,Lucas,Freshman,Midfielder,,,6'0,,Falmouth,ME,Falmouth High School,Falmouth High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6641
6419,2010,17,Brian,McGue,Sophomore,Midfielder,,,6'2,167,Dublin,OH,Dublin Jerome,Dublin Jerome,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1567
6420,2010,27,Peter,Mehlert,Sophomore,Midfielder,,,5'9,140,Chevy Chase,MD,Gonzaga College (HS,Gonzaga College (HS,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3183
6422,2010,5,Neal,Melchionni,Junior,Midfielder,,,5'9,,Marmora,NJ,Ocean City,Ocean City,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6569
6424,2010,9,James,Meyerkord,Freshman,Forward,,,5'10,,Florissant,MO,Chaminade College Prepatory,Chaminade College Prepatory,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6640
6426,2010,0,Ciaran,Nugent,Freshman,Goalkeeper,,,6'1,,Canton,MA,Buckingham Browne & Nichols School,Buckingham Browne & Nichols School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6639
6427,2010,1,Jonathan,Nydell,Senior,Goalkeeper,,,6'1,175,Washington,D.C.,Saint Stephen's Episcopal,Saint Stephen's Episcopal,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6565
6428,2010,11,Daniel,Odenwelder,Junior,Midfielder,,,6'2,,Pen Argyl,PA,Moravian Academy,Moravian Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6570
6430,2010,24,Allen,Page,Sophomore,Defender,,,6'4,180,Columbus,GA,Brookstone,Brookstone,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1569
6432,2010,7,Brian,Powers,Freshman,Back,,,5'8,,Yardley,PA,Pennsbury High School,Pennsbury High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6638
6434,2010,4,Kevin,Strunk,Junior,Back,,,6'3,,Downingtown,PA,Bishop Shanahan,Bishop Shanahan,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6573
6435,2010,26,Taylor,Sulmonetti,Sophomore,Goalkeeper,,,5'9,,Marietta,GA,George Walton,George Walton,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6575
6436,2010,22,Mark,Whitmeyer,Junior,Midfielder,,,5'10,,Charlotte,NC,Providence Day School,Providence Day School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6580
6438,2010,22,Thomas,Zimmerman,Sophomore,Forward,,,6'1,185,Gainesville,FL,Kentucky,Kentucky,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1584
6439,2010,16,Josh,Zipin,Senior,Midfielder,,,5'8,153,Silver Spring,MD,Montgomery Blair,Montgomery Blair,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1576
6440,2012,2,Chris,Ager,Junior,Defender,,,6'0,178,Gjettum,Norway,Norwegian College of Elite Sports,Norwegian College of Elite Sports,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=2844
6443,2012,6,Ben,Borin,Junior,Midfielder,,,5'7,,Cheyenne,WY,Cheyenne East High School,Cheyenne East High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4030
6445,2012,17,Ben,Davis,Freshman,Back,,,5'10,,Princeton,NJ,Princeton High School,Princeton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4047
6448,2012,13,Ali,Famili,Sophomore,Back,,,6'0,,Orefield,PA,Parkland High School,Parkland High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4035
6449,2012,9,Alex,Feliciano,Sophomore,Forward,,,5'11,165,Virginia Beach,VA,Kellam,Kellam,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2698
6451,2012,5,Alex,Givens,Junior,Midfielder,,,5'7,155,Raleigh,NC,North Raleigh Christian Academy,North Raleigh Christian Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2700
6453,2012,7,Nick,Grube,Junior,Midfielder,,,5'11,170,Lake Forest,IL,Lake Forest,Lake Forest,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2701
6454,2012,12,Jake,Keator,Junior,Midfielder,,,6'1,173,Jacksonville,FL,The Bolles School,The Bolles School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2702
6458,2012,2,Ryan,Malden,Junior,Defender,,,5'10,175,Agoura Hills,CA,Loyola,Loyola,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2703
6462,2012,16,Shane,Mulcahy,Freshman,Midfielder,,,5'10,,Mendham,NJ,Delbraton School,Delbraton School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4046
6464,2012,22,Evin,Nadaner,Junior,Midfielder,,,5'9,165,Bronx,NY,HSMSE at CCNY,HSMSE at CCNY,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3122
