ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
700580,91 PACIFIC HIGHWAY,BARKER COLLEGE,,SYDNEY,NSW,NSW 2077,AUSTRALIA,-33.709065,151.0995078
700009,182-222 LAKE RD,MACQUARIE COLLEGE,,WALLSEND,NSW,NSW 2287,AUSTRALIA,-32.9223711,151.6515019
700340,JANET ST,CALLAGHAN COLLEGE JESMOND SR,,JESMOND,NSW,NSW 2299,AUSTRALIA,-32.901188,151.6958154
700814,PO BOX 165,ALL SAINTS COLLEGE,,WILLETTON,W A,W A 6955,AUSTRALIA,-32.0500773,115.8648314
700663,94 KENWICK RD,REHOBOTH CHRISTIAN COLLEGE,,KENWICK,W A,W A 6107,AUSTRALIA,-32.032699,115.978863
700661,6 MORRISON ST,PENRHOS COLLEGE,,COMO,W A,W A 6152,AUSTRALIA,-31.9973376,115.871109
700429,14 MCNEIL STREET,PRESBYTERIAN LADIES COLLEGE WA,,PEPPERMINT GROVE,W A,W A 6011,AUSTRALIA,-31.9947395,115.7677094
700014,QUEENSLEA DRIVE,CHRIST CHURCH GRAMMAR SCHOOL,,CLAREMONT,W A,W A 6010,AUSTRALIA,-31.9854761,115.7780257
700108,40 COODE ST,WESLEY COLLEGE - SOUTH PERTH,,SOUTH PERTH WA,W A,W A 6151,AUSTRALIA,-31.9812072,115.8659007
700662,PO BOX 223,SCOTCH COLLEGE,,PERTH,W A,W A 6010,AUSTRALIA,-31.9807436,115.7720955
700766,90 ROBERTS ROAD,PERTH MODERN SCHOOL,,SUBIACO,W A,W A 6008,AUSTRALIA,-31.9449884,115.8386603
700621,22 KALINDA DR,INTERNATIONAL SCH W AUSTRALIA,,CITY BEACH,W A,W A 6015,AUSTRALIA,-31.9367748,115.7716076
700817,ELLIOTT ROAD,SAINT MARYS ANGLICAN GIRLS SCH,,KARRINYUP,W A,W A 6018,AUSTRALIA,-31.8765697,115.7662694
700450,2 WINCHESTER ST,SOUTHPORT SCHOOL,,SOUTHPORT,QLD,QLD 4215,AUSTRALIA,-27.9854245,153.4141152
700819,LOT 4 JOHANNA ST,HILLS EDUCATIONAL FOUNDATION,,JIMBOOMBA QLD,,,AUSTRALIA,-27.8165485,153.0165326
700120,70 LAUGHLIN ST,GROVES CHRISTIAN COLLEGE,,KINGSTON,QLD,QLD 4114,AUSTRALIA,-27.6617349,153.1100612
700225,JOHN PAUL DRIVE,JOHN PAUL COLLEGE,,DAISY HILL,QLD,QLD 4127,AUSTRALIA,-27.6332656,153.1493281
700404,DARLING STREET,IPSWICH GRAMMAR SCHOOL,,IPSWICH,QLD,QLD 4305,AUSTRALIA,-27.6139011,152.7537859
700121,11 RUTHVEN ST CORINDA,SAINT AIDANS ANGLICAN GIRLS SC,,BRISBANE,QLD,QLD 4075,AUSTRALIA,-27.5384198,152.9790425
700016,322 WECKER RD CARINDALE,CITIPOINTE CHRISTIAN COLLEGE,,BRISBANE QLD,QLD,QLD 4152,AUSTRALIA,-27.5346906,153.1130608
700571,NEW ENGLAND HWY.,TOOWOOMBA CHRISTIAN COLLEGE,,HIGHFIELDS,QLD,QLD 4352,AUSTRALIA,-27.4891167,151.9467746
700767,KENSINGTON TCE,BRISBANE BOYS COLLEGE,,TOOWONG,QLD,QLD 4066,AUSTRALIA,-27.4878272,152.9878629
