id,Roster_Year,First_Name,Last_Name,Accolade,College
1445,2017,Conner,Antley,First Team,Mercer NOT APPLICABLE
1446,2017,Jonny,Sutherland,First Team,ETSU NOT APPLICABLE
1447,2017,Danny,Barlow,Second Team,ETSU NOT APPLICABLE
1448,2017,Cole,McLagan,Second Team,Furman University
1449,2017,Matt,Mattis,Second Team,UNCG NOT APPLICABLE
1450,2017,Jeff,rey George,Second Team,ETSU NOT APPLICABLE
1451,2017,Nick,Spielman,Second Team,ETSU NOT APPLICABLE
1452,2017,Danny,Kierath,Second Team,Furman University
1453,2017,Nelson,Oceano,Second Team,UNCG NOT APPLICABLE
1454,2017,Ben,Holt,Second Team,ETSU NOT APPLICABLE
1455,2017,Kyle,McLagan,Second Team,Furman University
1456,2017,Trenton,Whitely,Second Team,Mercer NOT APPLICABLE
1457,2017,Ben,Hale,Second Team,Furman University
1458,2017,Jeremy,Booth,Second Team,Mercer NOT APPLICABLE
1459,2006,Charlie,Davis,First Team,Boston College
1460,2006,Dane,Richards,First Team,CU NOT APPLICABLE
1461,2006,Mike,Grella,First Team,Duke University
1462,2006,Michael,Videira,First Team,Duke University
1463,2006,Maurice,Edu,First Team,MD NOT APPLICABLE
1464,2006,Chris,Seitz,First Team,MD NOT APPLICABLE
1465,2006,Andre,Sherard,First Team,NC NOT APPLICABLE
1466,2006,Nico,Colaluca,First Team,VA NOT APPLICABLE
1467,2006,Patrick,Nyarko,First Team,VT NOT APPLICABLE
1468,2006,Ryan,Solle,First Team,Wake Forest University
1469,2006,Julian,Valentin,First Team,Wake Forest University
1470,2006,Reuben,Ayarna,Second Team,Boston College
1471,2006,Phil,Marguffi,Second Team,CU NOT APPLICABLE
1472,2006,Frederico,Moojen,Second Team,CU NOT APPLICABLE
1473,2006,Kyle,Helton,Second Team,Duke University
1474,2006,Spencer,Wadsworth,Second Team,Duke University
1475,2006,Stephen,King,Second Team,MD NOT APPLICABLE
1476,2006,Michael,Harrington,Second Team,NC NOT APPLICABLE
1477,2006,Alan,Sanchez,Second Team,ST NOT APPLICABLE
1478,2006,Adam,Cristman,Second Team,VA NOT APPLICABLE
1479,2006,Yannick,Reyering,Second Team,VA NOT APPLICABLE
1480,2006,Bakary,Soumare,Second Team,VA NOT APPLICABLE
1481,2006,Brian,Edwards,Second Team,Wake Forest University
1482,2006,Greg,Echardt,All-Freshman Team,CU NOT APPLICABLE
1483,2006,Josh,Bienenfeld,All-Freshman Team,Duke University
1484,2006,Omar,Gonzalez,All-Freshman Team,MD NOT APPLICABLE
1485,2006,Jeremy,Hall,All-Freshman Team,MD NOT APPLICABLE
1486,2006,Jason,Herrick,All-Freshman Team,MD NOT APPLICABLE
1487,2006,Bill,Dworsky,All-Freshman Team,NC NOT APPLICABLE
1488,2006,Alan,Sanchez,All-Freshman Team,ST NOT APPLICABLE
1489,2006,Jonathan,Villanueva,All-Freshman Team,VA NOT APPLICABLE
1490,2006,Charlie,Campbell,All-Freshman Team,VT NOT APPLICABLE
1491,2006,Austin,da Luz,All-Freshman Team,Wake Forest University
1492,2006,Zack,Schilawski,All-Freshman Team,Wake Forest University
1493,2007,Reuben,Ayarna,First Team,Boston College
1494,2007,Alejandro,Bedoya,First Team,Boston College
